Image Sticker,Slice Index,Model,IoU,Dice
lung_074,280,EfficientSAM (VIT-tiny),0.5081148564294632,0.6738410596026491
lung_074,280,EfficientSAM (VIT-small),0.5119047619047619,0.6771653543307087
lung_074,281,EfficientSAM (VIT-tiny),0.4799235181644359,0.648578811369509
lung_074,281,EfficientSAM (VIT-small),0.4580777096114519,0.6283309957924264
lung_074,282,EfficientSAM (VIT-tiny),0.4337474120082816,0.6050541516245488
lung_074,282,EfficientSAM (VIT-small),0.4501474926253687,0.6208299430431244
lung_074,283,EfficientSAM (VIT-tiny),0.4340425531914894,0.6053412462908012
lung_074,283,EfficientSAM (VIT-small),0.4651625746516257,0.634963768115942
lung_074,284,EfficientSAM (VIT-tiny),0.5026239067055394,0.6689949553744664
lung_074,284,EfficientSAM (VIT-small),0.4495192307692308,0.6202321724709784
lung_074,285,EfficientSAM (VIT-tiny),0.4643979057591623,0.6342509831962817
lung_074,285,EfficientSAM (VIT-small),0.4193373166757197,0.5908916953693073
lung_074,286,EfficientSAM (VIT-tiny),0.4975099601593625,0.664449617559029
lung_074,286,EfficientSAM (VIT-small),0.4300052826201796,0.6014037680088659
lung_074,287,EfficientSAM (VIT-tiny),0.4218374218374218,0.5933694181326117
lung_074,287,EfficientSAM (VIT-small),0.4246713852376138,0.596167494677076
lung_074,288,EfficientSAM (VIT-tiny),0.5815028901734104,0.7353801169590644
lung_074,288,EfficientSAM (VIT-small),0.4841849148418491,0.6524590163934426
lung_074,289,EfficientSAM (VIT-tiny),0.3559082892416226,0.5249739854318418
lung_074,289,EfficientSAM (VIT-small),0.408155767817781,0.5797025828332899
lung_074,290,EfficientSAM (VIT-tiny),0.2164328657314629,0.3558484349258649
lung_074,290,EfficientSAM (VIT-small),0.3168867268936761,0.4812664907651715
lung_074,291,EfficientSAM (VIT-tiny),0.4455762514551804,0.6164686933762835
lung_074,291,EfficientSAM (VIT-small),0.3911870503597122,0.5623787976729153
lung_074,292,EfficientSAM (VIT-tiny),0.383125,0.5539990962494351
